model,chr,log_likelihood,AIC,BIC
MSHMM,1,-1737864.5979485698,3475847.1958971396,3476562.341193078
MSHMM,2,-2002029.7918269082,4004177.5836538165,4004894.985924035
MSHMM,3,-1298514.7419123237,2597147.4838246475,2597849.880400658
BHMM,1,-1398541.0893319433,2797104.1786638866,2797237.4932552194
BHMM,2,-1449143.1384479161,2898308.2768958323,2898442.0092361574
BHMM,3,-1057608.6159316264,2115239.231863253,2115370.1747383717
BM,1,-1576416.6042524932,3152843.2085049865,3152903.8060465013
BM,2,-1685149.6287892193,3370309.2575784386,3370370.0450058593
BM,3,-1203227.313279069,2406464.626558138,2406524.1460468285
BD,1,-2011088.8754725682,4022179.7509451364,4022191.870453439
BD,2,-2193281.162098554,4386564.324197108,4386576.481682592
BD,3,-1504222.9146701368,3008447.8293402735,3008459.7332380116
BSHMM,1,-1377288.1545915722,2754682.3091831445,2755324.643123203
BSHMM,2,-1426978.1819779696,2854062.363955939,2854706.710686598
BSHMM,3,-1042445.249584788,2084996.499169576,2085627.4057496954
